name,displacement,cylinders,horsepower,weight,year,fuel_consumption
chevrolet chevelle malibu,5.03,8,130.0,1589.39,70,13.07
buick skylark 320,5.74,8,165.0,1675.12,70,15.68
plymouth satellite,5.21,8,150.0,1558.54,70,13.07
amc rebel sst,4.98,8,150.0,1557.18,70,14.7
ford torino,4.95,8,140.0,1564.44,70,13.84
ford galaxie 500,7.03,8,198.0,1969.04,70,15.68
chevrolet impala,7.44,8,220.0,1974.94,70,16.8
plymouth fury iii,7.21,8,215.0,1955.89,70,16.8
pontiac catalina,7.46,8,225.0,2007.14,70,16.8
amc ambassador dpl,6.39,8,190.0,1746.33,70,15.68
dodge challenger se,6.28,8,170.0,1616.15,70,15.68
plymouth 'cuda 340,5.57,8,160.0,1637.01,70,16.8
chevrolet monte carlo,6.55,8,150.0,1705.96,70,15.68
buick estate wagon (sw),7.46,8,225.0,1399.78,70,16.8
toyota corona mark ii,1.85,4,95.0,1075.92,70,9.8
plymouth duster,3.24,6,95.0,1285.03,70,10.69
amc hornet,3.26,6,97.0,1258.26,70,13.07
ford maverick,3.28,6,85.0,1173.44,70,11.2
datsun pl510,1.59,4,88.0,966.15,70,8.71
volkswagen 1131 deluxe sedan,1.59,4,46.0,832.34,70,9.05
peugeot 504,1.8,4,87.0,1212.0,70,9.41
audi 100 ls,1.75,4,90.0,1102.23,70,9.8
saab 99e,1.7,4,95.0,1077.28,70,9.41
bmw 2002,1.98,4,113.0,1013.32,70,9.05
amc gremlin,3.26,6,90.0,1201.11,70,11.2
ford f250,5.9,8,215.0,2093.33,70,23.52
chevy c20,5.03,8,200.0,1984.92,70,23.52
dodge d200,5.21,8,210.0,1987.64,70,21.38
hi 1200d,4.98,8,193.0,2146.4,70,26.14
datsun pl510,1.59,4,88.0,966.15,71,8.71
chevrolet vega 2300,2.29,4,90.0,1026.93,71,8.4
toyota corona,1.85,4,95.0,1010.6,71,9.41
amc gremlin,3.8,6,100.0,1194.76,71,12.38
plymouth satellite custom,3.69,6,105.0,1559.9,71,14.7
chevrolet chevelle malibu,4.1,6,100.0,1510.01,71,13.84
ford torino 500,4.1,6,88.0,1497.76,71,12.38
amc matador,3.8,6,100.0,1491.41,71,13.07
chevrolet impala,5.74,8,165.0,1909.17,71,16.8
pontiac catalina brougham,6.55,8,175.0,2024.83,71,16.8
ford galaxie 500,5.75,8,153.0,1884.22,71,16.8
plymouth fury iii,5.21,8,150.0,1857.91,71,16.8
dodge monaco (sw),6.28,8,180.0,2247.55,71,19.6
ford country squire (sw),6.55,8,170.0,2152.75,71,18.09
pontiac safari (sw),6.55,8,175.0,2331.46,71,18.09
amc hornet sportabout (sw),4.23,6,110.0,1343.54,71,13.07
chevrolet vega (sw),2.29,4,72.0,1092.25,71,10.69
pontiac firebird,4.1,6,100.0,1488.69,71,12.38
ford mustang,4.1,6,88.0,1423.83,71,13.07
mercury capri 2000,2.0,4,86.0,1006.97,71,10.23
opel 1900,1.9,4,90.0,962.98,71,8.4
peugeot 304,1.29,4,70.0,940.75,71,7.84
fiat 124b,1.44,4,76.0,936.67,71,7.84
toyota corolla 1200,1.16,4,65.0,804.22,71,7.59
datsun 1200,1.18,4,69.0,731.64,71,6.72
volkswagen model 111,1.59,4,60.0,831.89,71,8.71
plymouth cricket,1.49,4,70.0,886.77,71,9.05
toyota corona hardtop,1.85,4,95.0,1033.28,72,9.8
dodge colt hardtop,1.6,4,80.0,964.34,72,9.41
